text,label
"Yemek vermiyor ve ilgilenmiyor.",normal
"Beni sürekli yalnız bırakıyor.",ihmal
Dizim kanadı çünkü biri beni dövdü.,fiziksel
Gizli bir şekilde odama geldi.,cinsel
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Herkes bana kötü davranıyor.,duygusal
Ağabeyim beni yere itti.,fiziksel
Yeni kalem kutumu çok sevdim.,normal
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Herkes bana kötü davranıyor.,duygusal
Bugün yine beni aşağıladılar.,duygusal
Dizim kanadı çünkü biri beni dövdü.,fiziksel
Kardeşimle lego oynadım.,normal
Bugün bütün gün evde yalnızdım.,ihmal
"Bütün gün televizyon izledim, kimse benimle konuşmadı.",ihmal
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
Zorla beni öpmeye çalıştı.,cinsel
Beni rahatsız eden sorular sordu.,cinsel
Kıyafetimi çıkarmamı istedi.,cinsel
Bir yetişkin beni sertçe itti.,fiziksel
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
Arkadaşlarımla oyun oynadım.,normal
Bugün parkta çok eğlendim.,normal
Saçımı çekti ve bağırdı.,fiziksel
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Dizim kanadı çünkü biri beni dövdü.,fiziksel
Beni okuldan almayı unuttular.,ihmal
Babamla sinemaya gittik.,normal
"Yüzme kursuna gittim, eğlenceliydi.",normal
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
Kardeşimle lego oynadım.,normal
Korkuyorum çünkü bağırıyorlar.,duygusal
Birisi bana garip şeyler gösterdi.,cinsel
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Yeni kalem kutumu çok sevdim.,normal
Vurunca duvara çarptım.,fiziksel
"Okulda resim yaptım, öğretmenim beğendi.",normal
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
Saçımı çekti ve bağırdı.,fiziksel
Pikniğe gittik ve top oynadık.,normal
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Yeni kalem kutumu çok sevdim.,normal
Üşüyorum ama kimse ilgilenmiyor.,ihmal
Üşüyorum ama kimse ilgilenmiyor.,ihmal
"Okulda resim yaptım, öğretmenim beğendi.",normal
Babam bana tokat attı.,fiziksel
Kendimi çok değersiz hissediyorum.,duygusal
Gizli bir şekilde odama geldi.,cinsel
Anneme bir şey söyledim ama bağırdı.,duygusal
Bir yetişkin beni sertçe itti.,fiziksel
Anneme bir şey söyledim ama bağırdı.,duygusal
Bugün bütün gün evde yalnızdım.,ihmal
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
Üşüyorum ama kimse ilgilenmiyor.,ihmal
Oyun oynamak bahanesiyle bana dokundu.,cinsel
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
Pikniğe gittik ve top oynadık.,normal
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Kıyafetimi çıkarmamı istedi.,cinsel
Bana kötü yerlerinden bahsetti.,cinsel
Biri bana dokundu ve çok korktum.,cinsel
Anneme bir şey söyledim ama bağırdı.,duygusal
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Birisi bana garip şeyler gösterdi.,cinsel
Karnım aç ama evde kimse yok.,ihmal
"Onunla konuşmamı istemiyorum, kötü hissediyorum.",cinsel
Arkadaşlarımla oyun oynadım.,normal
Gizlice fotoğraf çekmeye çalıştı.,cinsel
"Bütün gün televizyon izledim, kimse benimle konuşmadı.",ihmal
Korkuyorum çünkü bağırıyorlar.,duygusal
Babamla sinemaya gittik.,normal
Babam bana tokat attı.,fiziksel
Beni rahatsız eden sorular sordu.,cinsel
Bugün yine beni aşağıladılar.,duygusal
Beni kimse sevmiyor gibi hissediyorum.,duygusal
Biri bana dokundu ve çok korktum.,cinsel
"Yüzme kursuna gittim, eğlenceliydi.",normal
Çok hastaydım ama doktora gitmedik.,ihmal
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
"Bütün gün televizyon izledim, kimse benimle konuşmadı.",ihmal
Pikniğe gittik ve top oynadık.,normal
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
Gizli bir şekilde odama geldi.,cinsel
Birisi bana garip şeyler gösterdi.,cinsel
Annemle birlikte kek yaptık.,normal
"Okulda resim yaptım, öğretmenim beğendi.",normal
Beni sürekli eleştiriyor.,duygusal
Babamla sinemaya gittik.,normal
Karnım aç ama evde kimse yok.,ihmal
Birisi bana garip şeyler gösterdi.,cinsel
Dizim kanadı çünkü biri beni dövdü.,fiziksel
Bugün yine beni aşağıladılar.,duygusal
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Gizli bir şekilde odama geldi.,cinsel
Kardeşimle lego oynadım.,normal
Beni rahatsız eden sorular sordu.,cinsel
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Bir yetişkin beni sertçe itti.,fiziksel
Karnım aç ama evde kimse yok.,ihmal
Kıyafetimi çıkarmamı istedi.,cinsel
Arkadaşlarımla oyun oynadım.,normal
Saçımı çekti ve bağırdı.,fiziksel
Bir yetişkin beni sertçe itti.,fiziksel
Arkadaşlarımla oyun oynadım.,normal
Saçımı çekti ve bağırdı.,fiziksel
Annemle birlikte kek yaptık.,normal
Karnım aç ama evde kimse yok.,ihmal
Bana kötü yerlerinden bahsetti.,cinsel
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
"Onunla konuşmamı istemiyorum, kötü hissediyorum.",cinsel
Vurunca duvara çarptım.,fiziksel
Öğretmenim bana vurdu.,fiziksel
Kendimi çok değersiz hissediyorum.,duygusal
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
Bana hiç sarılmıyorlar.,ihmal
Zorla beni öpmeye çalıştı.,cinsel
Bugün bütün gün evde yalnızdım.,ihmal
Bana 'aptal' dedi.,duygusal
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Bugün bütün gün evde yalnızdım.,ihmal
Kardeşimle lego oynadım.,normal
Beni okuldan almayı unuttular.,ihmal
Saçımı çekti ve bağırdı.,fiziksel
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Beni okuldan almayı unuttular.,ihmal
Vurunca duvara çarptım.,fiziksel
Bana 'aptal' dedi.,duygusal
Yeni kalem kutumu çok sevdim.,normal
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
Bugün yine beni aşağıladılar.,duygusal
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
Birisi bana garip şeyler gösterdi.,cinsel
Biri bana dokundu ve çok korktum.,cinsel
Bugün bütün gün evde yalnızdım.,ihmal
Babamla sinemaya gittik.,normal
Herkes bana kötü davranıyor.,duygusal
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
Beni sürekli eleştiriyor.,duygusal
Bana kötü yerlerinden bahsetti.,cinsel
Ağabeyim beni yere itti.,fiziksel
Üşüyorum ama kimse ilgilenmiyor.,ihmal
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Bana 'aptal' dedi.,duygusal
Beni sürekli eleştiriyor.,duygusal
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
Herkes bana kötü davranıyor.,duygusal
Bana kötü yerlerinden bahsetti.,cinsel
Kendimi çok değersiz hissediyorum.,duygusal
Kendimi çok değersiz hissediyorum.,duygusal
Beni okuldan almayı unuttular.,ihmal
"Bütün gün televizyon izledim, kimse benimle konuşmadı.",ihmal
Karnım aç ama evde kimse yok.,ihmal
Bana hiç sarılmıyorlar.,ihmal
Karnım aç ama evde kimse yok.,ihmal
Gizlice fotoğraf çekmeye çalıştı.,cinsel
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Anneme bir şey söyledim ama bağırdı.,duygusal
Bana 'aptal' dedi.,duygusal
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
Ağabeyim beni yere itti.,fiziksel
Anneme bir şey söyledim ama bağırdı.,duygusal
Korkuyorum çünkü bağırıyorlar.,duygusal
Bana hiç sarılmıyorlar.,ihmal
Anneme bir şey söyledim ama bağırdı.,duygusal
Babam bana tokat attı.,fiziksel
Biri bana dokundu ve çok korktum.,cinsel
Kendimi çok değersiz hissediyorum.,duygusal
Biri bana dokundu ve çok korktum.,cinsel
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
Kıyafetimi çıkarmamı istedi.,cinsel
Beni sürekli eleştiriyor.,duygusal
Gizli bir şekilde odama geldi.,cinsel
Annemle birlikte kek yaptık.,normal
Beni rahatsız eden sorular sordu.,cinsel
Bir yetişkin beni sertçe itti.,fiziksel
Kendimi çok değersiz hissediyorum.,duygusal
Karnım aç ama evde kimse yok.,ihmal
Herkes bana kötü davranıyor.,duygusal
Bana hiç sarılmıyorlar.,ihmal
Kıyafetimi çıkarmamı istedi.,cinsel
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
Beni okuldan almayı unuttular.,ihmal
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
Odam çok kirli ama yardım eden yok.,ihmal
Anneme bir şey söyledim ama bağırdı.,duygusal
Bana kötü yerlerinden bahsetti.,cinsel
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Bir yetişkin beni sertçe itti.,fiziksel
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Annemle birlikte kek yaptık.,normal
Kitap okudum ve çok sevdim.,normal
Kitap okudum ve çok sevdim.,normal
Kıyafetimi çıkarmamı istedi.,cinsel
Pikniğe gittik ve top oynadık.,normal
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Pikniğe gittik ve top oynadık.,normal
Birisi bana garip şeyler gösterdi.,cinsel
"Yüzme kursuna gittim, eğlenceliydi.",normal
Yeni kalem kutumu çok sevdim.,normal
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
"Beni sık sık tokatladı ve sözlü olarak aşağıladı.",cinsel
"Okula gitmemi engelliyor ve yalnız bırakıyor.",normal
"Korkutucu sözler söyledi ve beni tehdit etti.",ihmal
"Bana istemediğim şekilde dokundu.",normal
"Yemek vermeyi ihmal ediyor ve ilgisiz davranıyor.",duygusal
"Sürekli psikolojik baskı yapıyor ve manipüle ediyor.",ihmal
"Fiziksel şiddet uyguladı, yüzüme yumruk attı.",duygusal
"Cinsel taciz uyguladı ve rahatsız etti.",normal
"Beni aşağılayarak kendimi değersiz hissettirdi.",normal
"Sağlık kontrollerimi aksattı ve ilgisiz kaldı.",cinsel
"Beni sık sık tokatladı ve sözlü olarak aşağıladı.",duygusal
"Okula gitmemi engelliyor ve yalnız bırakıyor.",cinsel
"Korkutucu sözler söyledi ve beni tehdit etti.",normal
"Bana istemediğim şekilde dokundu.",ihmal
"Yemek vermeyi ihmal ediyor ve ilgisiz davranıyor.",normal
"Sürekli psikolojik baskı yapıyor ve manipüle ediyor.",cinsel
"Fiziksel şiddet uyguladı, yüzüme yumruk attı.",normal
"Cinsel taciz uyguladı ve rahatsız etti.",duygusal
"Beni aşağılayarak kendimi değersiz hissettirdi.",ihmal
"Sağlık kontrollerimi aksattı ve ilgisiz kaldı.",duygusal
"Beni sık sık tokatladı ve sözlü olarak aşağıladı.",ihmal
"Okula gitmemi engelliyor ve yalnız bırakıyor.",duygusal
"Korkutucu sözler söyledi ve beni tehdit etti.",cinsel
"Bana istemediğim şekilde dokundu.",duygusal
"Yemek vermeyi ihmal ediyor ve ilgisiz davranıyor.",cinsel
"Sürekli psikolojik baskı yapıyor ve manipüle ediyor.",duygusal
"Fiziksel şiddet uyguladı, yüzüme yumruk attı.",cinsel
"Cinsel taciz uyguladı ve rahatsız etti.",ihmal
"Beni aşağılayarak kendimi değersiz hissettirdi.",cinsel
"Sağlık kontrollerimi aksattı ve ilgisiz kaldı.",normal
"Beni sık sık tokatladı ve sözlü olarak aşağıladı.",normal
"Okula gitmemi engelliyor ve yalnız bırakıyor.",ihmal
"Korkutucu sözler söyledi ve beni tehdit etti.",duygusal
"Bana istemediğim şekilde dokundu.",cinsel
"Yemek vermeyi ihmal ediyor ve ilgisiz davranıyor.",ihmal
"Sürekli psikolojik baskı yapıyor ve manipüle ediyor.",normal
"Fiziksel şiddet uyguladı, yüzüme yumruk attı.",ihmal
"Cinsel taciz uyguladı ve rahatsız etti.",normal
"Beni aşağılayarak kendimi değersiz hissettirdi.",normal
"Sağlık kontrollerimi aksattı ve ilgisiz kaldı.",duygusal
"Bütün gün televizyon izledim, kimse benimle konuşmadı.",ihmal
Anneme bir şey söyledim ama bağırdı.,duygusal
"Bütün gün televizyon izledim, kimse benimle konuşmadı.",ihmal
Zorla beni öpmeye çalıştı.,cinsel
Beni okuldan almayı unuttular.,ihmal
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
Bana kötü yerlerinden bahsetti.,cinsel
"Yüzme kursuna gittim, eğlenceliydi.",normal
Biri bana dokundu ve çok korktum.,cinsel
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
Babam bana tokat attı.,fiziksel
Gizli bir şekilde odama geldi.,cinsel
Odam çok kirli ama yardım eden yok.,ihmal
Herkes bana kötü davranıyor.,duygusal
Korkuyorum çünkü bağırıyorlar.,duygusal
Bana 'aptal' dedi.,duygusal
Beni sürekli eleştiriyor.,duygusal
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
"Okulda resim yaptım, öğretmenim beğendi.",normal
Annemle birlikte kek yaptık.,normal
Beni rahatsız eden sorular sordu.,cinsel
Bir yetişkin beni sertçe itti.,fiziksel
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
Biri bana dokundu ve çok korktum.,cinsel
Kardeşimle lego oynadım.,normal
Beni okuldan almayı unuttular.,ihmal
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Bugün parkta çok eğlendim.,normal
Yeni kalem kutumu çok sevdim.,normal
Ağabeyim beni yere itti.,fiziksel
"Onunla konuşmamı istemiyorum, kötü hissediyorum.",cinsel
Annemle birlikte kek yaptık.,normal
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
Odam çok kirli ama yardım eden yok.,ihmal
Anneme bir şey söyledim ama bağırdı.,duygusal
Sınıfta biri beni itip yere düşürdü.,fiziksel
Beni sürekli eleştiriyor.,duygusal
"Yüzme kursuna gittim, eğlenceliydi.",normal
Kitap okudum ve çok sevdim.,normal
Pikniğe gittik ve top oynadık.,normal
Kendimi çok değersiz hissediyorum.,duygusal
"Bütün gün televizyon izledim, kimse benimle konuşmadı.",ihmal
Kendimi çok değersiz hissediyorum.,duygusal
Karnım aç ama evde kimse yok.,ihmal
Kardeşimle lego oynadım.,normal
Pikniğe gittik ve top oynadık.,normal
Babam bana tokat attı.,fiziksel
Öğretmenim bana vurdu.,fiziksel
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
Çok hastaydım ama doktora gitmedik.,ihmal
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Kendimi çok değersiz hissediyorum.,duygusal
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Bugün bütün gün evde yalnızdım.,ihmal
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
Karnım aç ama evde kimse yok.,ihmal
Beni okuldan almayı unuttular.,ihmal
Annemle birlikte kek yaptık.,normal
Kitap okudum ve çok sevdim.,normal
Anneme bir şey söyledim ama bağırdı.,duygusal
Bugün parkta çok eğlendim.,normal
Annemle birlikte kek yaptık.,normal
"Yüzme kursuna gittim, eğlenceliydi.",normal
Öğretmenim bana vurdu.,fiziksel
Bugün parkta çok eğlendim.,normal
Babam bana tokat attı.,fiziksel
Vurunca duvara çarptım.,fiziksel
Beni rahatsız eden sorular sordu.,cinsel
Pikniğe gittik ve top oynadık.,normal
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
"Okulda resim yaptım, öğretmenim beğendi.",normal
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Arkadaşlarımla oyun oynadım.,normal
Ağabeyim beni yere itti.,fiziksel
Yeni kalem kutumu çok sevdim.,normal
Kitap okudum ve çok sevdim.,normal
"Okulda resim yaptım, öğretmenim beğendi.",normal
Biri bana dokundu ve çok korktum.,cinsel
Kendimi çok değersiz hissediyorum.,duygusal
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Bir yetişkin beni sertçe itti.,fiziksel
Zorla beni öpmeye çalıştı.,cinsel
Kitap okudum ve çok sevdim.,normal
Bana hiç sarılmıyorlar.,ihmal
Bana kötü yerlerinden bahsetti.,cinsel
"Yüzme kursuna gittim, eğlenceliydi.",normal
Öğretmenim bana vurdu.,fiziksel
Yeni kalem kutumu çok sevdim.,normal
Zorla beni öpmeye çalıştı.,cinsel
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
Babamla sinemaya gittik.,normal
Bir yetişkin beni sertçe itti.,fiziksel
Kimse bana yemek yapmadı.,ihmal
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Bir yetişkin beni sertçe itti.,fiziksel
Yeni kalem kutumu çok sevdim.,normal
Odam çok kirli ama yardım eden yok.,ihmal
"Onunla konuşmamı istemiyorum, kötü hissediyorum.",cinsel
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
Bugün yine beni aşağıladılar.,duygusal
Anneme bir şey söyledim ama bağırdı.,duygusal
"Onunla konuşmamı istemiyorum, kötü hissediyorum.",cinsel
Kitap okudum ve çok sevdim.,normal
Ağabeyim beni yere itti.,fiziksel
Gizli bir şekilde odama geldi.,cinsel
Bana kötü yerlerinden bahsetti.,cinsel
Babamla sinemaya gittik.,normal
Bugün parkta çok eğlendim.,normal
"Okulda resim yaptım, öğretmenim beğendi.",normal
Pikniğe gittik ve top oynadık.,normal
Kitap okudum ve çok sevdim.,normal
Karnım aç ama evde kimse yok.,ihmal
Bugün yine beni aşağıladılar.,duygusal
Babamla sinemaya gittik.,normal
Babam bana tokat attı.,fiziksel
Beni rahatsız eden sorular sordu.,cinsel
"Yüzme kursuna gittim, eğlenceliydi.",normal
Kardeşimle lego oynadım.,normal
Babam bana tokat attı.,fiziksel
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
Beni kimse sevmiyor gibi hissediyorum.,duygusal
Odam çok kirli ama yardım eden yok.,ihmal
Kendimi çok değersiz hissediyorum.,duygusal
Beni rahatsız eden sorular sordu.,cinsel
Bana hiç sarılmıyorlar.,ihmal
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
Kitap okudum ve çok sevdim.,normal
Beni kimse sevmiyor gibi hissediyorum.,duygusal
Yeni kalem kutumu çok sevdim.,normal
"Yüzme kursuna gittim, eğlenceliydi.",normal
Bugün parkta çok eğlendim.,normal
"Bütün gün televizyon izledim, kimse benimle konuşmadı.",ihmal
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Pikniğe gittik ve top oynadık.,normal
Beni sürekli eleştiriyor.,duygusal
Dizim kanadı çünkü biri beni dövdü.,fiziksel
Yeni kalem kutumu çok sevdim.,normal
"Okulda resim yaptım, öğretmenim beğendi.",normal
Bir yetişkin beni sertçe itti.,fiziksel
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
Beni okuldan almayı unuttular.,ihmal
Bir yetişkin beni sertçe itti.,fiziksel
Zorla beni öpmeye çalıştı.,cinsel
Beni kimse sevmiyor gibi hissediyorum.,duygusal
"Onunla konuşmamı istemiyorum, kötü hissediyorum.",cinsel
Çok hastaydım ama doktora gitmedik.,ihmal
Herkes bana kötü davranıyor.,duygusal
"Bütün gün televizyon izledim, kimse benimle konuşmadı.",ihmal
Bana 'aptal' dedi.,duygusal
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
Bugün parkta çok eğlendim.,normal
Yeni kalem kutumu çok sevdim.,normal
Zorla beni öpmeye çalıştı.,cinsel
Beni kimse sevmiyor gibi hissediyorum.,duygusal
Bir yetişkin beni sertçe itti.,fiziksel
Öğretmenim bana vurdu.,fiziksel
Beni sürekli eleştiriyor.,duygusal
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
Babamla sinemaya gittik.,normal
Beni sürekli eleştiriyor.,duygusal
Bana hiç sarılmıyorlar.,ihmal
Herkes bana kötü davranıyor.,duygusal
Bugün yine beni aşağıladılar.,duygusal
"Onunla konuşmamı istemiyorum, kötü hissediyorum.",cinsel
Beni rahatsız eden sorular sordu.,cinsel
Biri bana dokundu ve çok korktum.,cinsel
"Yüzme kursuna gittim, eğlenceliydi.",normal
Bugün yine beni aşağıladılar.,duygusal
Biri bana dokundu ve çok korktum.,cinsel
Beni sürekli eleştiriyor.,duygusal
"Okulda resim yaptım, öğretmenim beğendi.",normal
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Arkadaşlarımla oyun oynadım.,normal
Annemle birlikte kek yaptık.,normal
Bana hiç sarılmıyorlar.,ihmal
"Yüzme kursuna gittim, eğlenceliydi.",normal
Bugün yine beni aşağıladılar.,duygusal
Ağabeyim beni yere itti.,fiziksel
Bugün yine beni aşağıladılar.,duygusal
Arkadaşlarımla oyun oynadım.,normal
Ağabeyim beni yere itti.,fiziksel
Kıyafetimi çıkarmamı istedi.,cinsel
Kimse bana yemek yapmadı.,ihmal
Sınıfta biri beni itip yere düşürdü.,fiziksel
Karnım aç ama evde kimse yok.,ihmal
Beni okuldan almayı unuttular.,ihmal
